                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.8797,                0.96407,                 1.0974,                0.97877,                0.93617,                0.97358,                0.43938,                 1.9019,                0.85756,                 1.1415,              0.0013268,              0.0013268,              0.0013268
                     36,                   1.81,                0.96179,                 1.1281,                0.93743,                0.95631,                0.94417,                 0.3487,                 2.1925,                0.95993,                 1.2612,               0.001307,               0.001307,               0.001307
                     37,                 1.7802,                0.94444,                 1.0883,                0.92238,                0.93617,                0.94513,                0.36556,                 2.1151,                0.94627,                 1.2266,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.8157,                0.93776,                 1.1235,                0.96687,                0.97872,                0.97439,                0.47732,                 1.8377,                0.84212,                 1.1172,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.8998,                 0.9539,                 1.1886,                0.97613,                0.97872,                0.97439,                0.40116,                 2.0228,                0.83803,                 1.1989,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.8512,                0.90283,                 1.1018,                0.95735,                0.95532,                0.94125,                0.44352,                 1.9179,                0.86188,                 1.1355,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.7452,                0.87906,                 1.0809,                0.92979,                0.91489,                0.93486,                0.44291,                  1.924,                0.85462,                 1.1251,               0.001208,               0.001208,               0.001208
                     42,                 1.8087,                0.90501,                 1.1307,                  0.999,                0.95745,                0.97441,                0.43042,                 1.9477,                0.86294,                 1.1451,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.7495,                0.87781,                 1.0813,                0.93284,                0.93617,                0.93412,                0.36464,                 2.0509,                0.88116,                 1.2144,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.7154,                0.87281,                 1.1082,                0.97831,                0.97872,                0.97524,                0.45662,                 1.8549,                0.85272,                 1.1189,              0.0011486,              0.0011486,              0.0011486
